model_name,provider,intelligence_idx,cost_usd_1m,speed_tok_s,latency_s,avg_score,accuracy,cost_efficiency,speed_efficiency
Devstral Small 2,Mistral,19.0,0.0,197,0.35,,19.0,19000000000.0,562.8571412489796
Llama Nemotron Super 49B v1.5,NVIDIA,19.0,0.17,77,0.22,,19.0,111.76470522491348,349.9999984090909
Nova Premier,Amazon,19.0,5.0,80,0.8,,19.0,3.7999999992399998,99.999999875
K2-V2 (medium),MBZUAI Institute of Foundation Models,19.0,0.0,0,0.0,,19.0,19000000000.0,0.0
Devstral Medium,Mistral,19.0,0.8,112,0.43,,19.0,23.7499999703125,260.4651156733369
Llama 4 Maverick,Meta,19.0,0.46,136,0.46,,19.0,41.30434773629489,295.6521732703213
Llama 3.3 Nemotron Super 49B,NVIDIA,18.0,0.0,0,0.0,,18.0,18000000000.0,0.0
Nova 2.0 Lite,Amazon,18.0,0.85,222,0.52,,18.0,21.1764705633218,426.92307610207104
GLM-4.6V,Z AI,17.0,0.45,64,0.89,,17.0,37.777777693827154,71.91011227875268
ERNIE 4.5 300B A47B,Baidu,17.0,0.48,27,1.88,,17.0,35.416666592881946,14.361702120020372
Hermes 4 405B,Nous Research,17.0,1.5,31,0.72,,17.0,11.333333325777778,43.055555495756174
Qwen3 VL 32B,Alibaba,17.0,1.23,46,0.96,,17.0,13.821138200145416,47.916666616753474
EXAONE 4.0 32B,LG AI Research,17.0,0.7,101,0.31,,17.0,24.285714251020412,325.80645056191463
Nova 2.0 Omni,Amazon,17.0,0.85,226,0.71,,17.0,19.99999997647059,318.30985870660584
Qwen3 VL 8B,Alibaba,17.0,0.66,65,0.95,,17.0,25.757575718549127,68.4210525595568
Olmo 3 7B Think,Allen Institute for AI,17.0,0.14,107,0.52,,17.0,121.42857056122449,205.7692303735207
DeepSeek R1 0528 Qwen3 8B,DeepSeek,16.0,0.07,68,1.18,,16.0,228.57142530612248,57.62711859523125
Qwen3 VL 30B A3B,Alibaba,16.0,0.35,98,0.91,,16.0,45.71428558367347,107.6923075739645
Ministral 14B (Dec '25),Mistral,16.0,0.2,144,0.3,,16.0,79.9999996,479.9999984
Qwen3 4B 2507,Alibaba,16.0,0.0,0,0.0,,16.0,15999999999.999998,0.0
Falcon-H1R-7B,TII UAE,16.0,0.0,0,0.0,,16.0,15999999999.999998,0.0
DeepSeek R1 Distill Llama 70B,DeepSeek,16.0,0.88,42,0.82,,16.0,18.181818161157025,51.21951213265913
Qwen3 Omni 30B A3B,Alibaba,16.0,0.43,97,0.95,,16.0,37.209302239048135,102.10526305041552
Devstral Small,Mistral,15.0,0.15,228,0.36,,15.0,99.99999933333334,633.333331574074
Solar Pro 2,Upstage,15.0,0.0,0,0.0,,15.0,15000000000.0,0.0
Qwen3 30B A3B 2507,Alibaba,15.0,0.35,76,1.02,,15.0,42.85714273469388,74.5098038485198
NVIDIA Nemotron Nano 9B V2,NVIDIA,15.0,0.07,100,0.23,,15.0,214.28571122448983,434.78260680529297
Llama Nemotron Super 49B v1.5,NVIDIA,15.0,0.17,69,0.22,,15.0,88.23529359861591,313.6363622107438
Ling-mini-2.0,InclusionAI,15.0,0.12,182,1.49,,15.0,124.99999895833335,122.14765092473311
K2-V2 (low),MBZUAI Institute of Foundation Models,15.0,0.0,0,0.0,,15.0,15000000000.0,0.0
Mistral Small 3.2,Mistral,15.0,0.15,96,0.3,,15.0,99.99999933333334,319.9999989333333
Qwen3 VL 4B,Alibaba,15.0,0.0,0,0.0,,15.0,15000000000.0,0.0
Ministral 8B (Dec '25),Mistral,15.0,0.15,194,0.28,,15.0,99.99999933333334,692.8571403826529
Llama 3.3 70B,Meta,15.0,0.64,107,0.47,,15.0,23.437499963378908,227.65957398370304
NVIDIA Nemotron Nano 12B v2 VL,NVIDIA,15.0,0.3,129,0.21,,15.0,49.999999833333334,614.2857113605443
Qwen3 VL 8B,Alibaba,15.0,0.31,110,0.9,,15.0,48.387096618106135,122.22222208641975
Llama 3.1 Nemotron Nano 4B v1.1,NVIDIA,14.0,0.0,0,0.0,,14.0,14000000000.0,0.0
Kimi Linear 48B A3B Instruct,Kimi,14.0,0.0,0,0.0,,14.0,14000000000.0,0.0
Reka Flash 3,Reka AI,14.0,0.35,49,1.3,,14.0,39.99999988571429,37.692307663313606
Llama 3.3 Nemotron Super 49B,NVIDIA,14.0,0.0,0,0.0,,14.0,14000000000.0,0.0
Llama 3.1 405B,Meta,14.0,4.19,25,0.68,,14.0,3.3412887820187853,36.7647058282872
Qwen3 VL 4B,Alibaba,14.0,0.0,0,0.0,,14.0,14000000000.0,0.0
Solar Pro 2,Upstage,14.0,0.0,0,0.0,,14.0,14000000000.0,0.0
Llama 4 Scout,Meta,14.0,0.28,117,0.42,,14.0,49.99999982142856,278.5714279081633
Llama 3.1 Nemotron 70B,NVIDIA,14.0,1.2,40,0.28,,14.0,11.666666656944445,142.85714234693876
Hermes 4 70B,Nous Research,14.0,0.2,72,0.57,,14.0,69.99999964999999,126.31578925207758
NVIDIA Nemotron 3 Nano,NVIDIA,14.0,0.1,171,0.32,,14.0,139.9999986,534.374998330078
Command A,Cohere,13.0,4.38,58,0.3,,13.0,2.9680365290027315,193.33333268888887
NVIDIA Nemotron Nano 9B V2,NVIDIA,13.0,0.1,109,0.41,,13.0,129.99999870000002,265.8536578881618
Phi-4,Microsoft Azure,13.0,0.22,7,0.76,,13.0,59.09090882231405,9.21052630367036
Qwen3 1.7B,Alibaba,13.0,0.4,126,0.9,,13.0,32.49999991875,139.99999984444443
Jamba Reasoning 3B,AI21 Labs,13.0,0.0,0,0.0,,13.0,13000000000.0,0.0
R1 1776,Perplexity,12.0,0.0,0,0.0,,12.0,12000000000.0,0.0
Llama 3.2 90B (Vision),Meta,12.0,0.72,41,0.33,,12.0,16.66666664351852,124.24242386593204
Ministral 3B (Dec '25),Mistral,12.0,0.1,298,0.27,,12.0,119.9999988,1103.703699615912
EXAONE 4.0 32B,LG AI Research,12.0,0.7,87,0.31,,12.0,17.14285711836735,280.6451603850156
Nova Micro,Amazon,12.0,0.06,462,0.36,,12.0,199.99999666666673,1283.3333297685185
LFM2 8B A1B,Liquid AI,11.0,0.0,0,0.0,,11.0,11000000000.0,0.0
Granite 4.0 H Small,IBM,11.0,0.11,239,8.74,,11.0,99.9999990909091,27.34553775430829
Granite 4.0 Micro,IBM,11.0,0.0,0,0.0,,11.0,11000000000.0,0.0
Phi-4 Mini,Microsoft Azure,11.0,0.0,45,0.31,,11.0,11000000000.0,145.1612898543184
DeepHermes 3 - Mistral 24B,Nous Research,11.0,0.0,0,0.0,,11.0,11000000000.0,0.0
Llama 3.2 11B (Vision),Meta,11.0,0.16,71,0.38,,11.0,68.7499995703125,186.84210477146814
Qwen3 Omni 30B A3B,Alibaba,11.0,0.43,89,0.94,,11.0,25.58139528934559,94.68085096310548
Qwen3 0.6B,Alibaba,11.0,0.4,200,0.89,,11.0,27.499999931249995,224.71910087110214
Gemma 3 27B,Google,10.0,0.0,42,3.66,,10.0,10000000000.0,11.475409832930215
NVIDIA Nemotron Nano 12B v2 VL,NVIDIA,10.0,0.3,126,0.55,,10.0,33.33333322222222,229.09090867438016
Phi-4 Multimodal,Microsoft Azure,10.0,0.0,17,0.32,,10.0,10000000000.0,53.12499983398437
Gemma 3n E2B,Google,10.0,0.0,41,0.37,,10.0,10000000000.0,110.81081051132213
Jamba 1.7 Large,AI21 Labs,9.0,3.5,47,0.84,,9.0,2.5714285706938775,55.95238088577098
Molmo 7B-D,Allen Institute for AI,9.0,0.0,0,0.0,,9.0,9000000000.0,0.0
Gemma 3 12B,Google,9.0,0.0,40,20.1,,9.0,9000000000.0,1.9900497511447734
Gemma 3 1B,Google,9.0,0.0,37,0.51,,9.0,9000000000.0,72.54901946559016
Exaone 4.0 1.2B,LG AI Research,8.0,0.0,0,0.0,,8.0,7999999999.999999,0.0
Gemma 3 270M,Google,8.0,0.0,0,0.0,,8.0,7999999999.999999,0.0
Exaone 4.0 1.2B,LG AI Research,8.0,0.0,0,0.0,,8.0,7999999999.999999,0.0
Granite 4.0 H 1B,IBM,8.0,0.0,0,0.0,,8.0,7999999999.999999,0.0
Olmo 3 7B,Allen Institute for AI,8.0,0.13,33,0.43,,8.0,61.53846106508876,76.74418586803678
LFM2 2.6B,Liquid AI,8.0,0.0,0,0.0,,8.0,7999999999.999999,0.0
DeepHermes 3 - Llama-3.1 8B,Nous Research,8.0,0.0,0,0.0,,8.0,7999999999.999999,0.0
Jamba 1.7 Mini,AI21 Labs,7.0,0.25,124,0.63,,7.0,27.999999887999998,196.82539651297557
Granite 4.0 1B,IBM,7.0,0.0,0,0.0,,7.0,7000000000.0,0.0
Granite 4.0 350M,IBM,7.0,0.0,0,0.0,,7.0,7000000000.0,0.0
Qwen3 1.7B,Alibaba,7.0,0.19,116,0.9,,7.0,36.84210506925208,128.88888874567903
LFM2 1.2B,Liquid AI,6.0,0.0,0,0.0,,6.0,6000000000.0,0.0
