model_name,provider,cost_usd_1m,speed_tok_s,latency_s,context_window,source,avg_score,ifeval,bbh,math_score,gpqa,musr,mmlu_pro,params_b,architecture,accuracy,cost_efficiency,speed_efficiency,composite_score,tag
Gemma 3n E2B,Google,0.0,41,0.37,32k,ArtificialAnalysis,,,,,,,,,,22.0,22000000000.0,110.81081051132213,60.27492310951297,Budget-Friendly
Jamba 1.7 Large,AI21 Labs,3.5,47,0.84,256k,ArtificialAnalysis,,,,,,,,,,9.0,2.5714285706938775,55.95238088577098,40.04982543781323,Balanced
Molmo 7B-D,Allen Institute for AI,0.0,0,0.0,4k,ArtificialAnalysis,,,,,,,,,,22.0,22000000000.0,0.0,59.22222222222222,Fast
Gemma 3 12B,Google,0.0,40,20.1,128k,ArtificialAnalysis,,,,,,,,,,9.0,9000000000.0,1.9900497511447734,45.20036843079052,Budget-Friendly
Gemma 3 1B,Google,0.0,37,0.51,32k,ArtificialAnalysis,,,,,,,,,,22.0,22000000000.0,72.54901946559016,60.14105563197679,Budget-Friendly
Exaone 4.0 1.2B,LG AI Research,0.0,0,0.0,64k,ArtificialAnalysis,,,,,,,,,,8.0,7999999999.999999,0.0,46.77777777777778,Fast
Gemma 3 270M,Google,0.0,0,0.0,32k,ArtificialAnalysis,,,,,,,,,,22.0,22000000000.0,0.0,59.22222222222222,Fast
Exaone 4.0 1.2B,LG AI Research,0.0,0,0.0,64k,ArtificialAnalysis,,,,,,,,,,8.0,7999999999.999999,0.0,46.77777777777778,Fast
Granite 4.0 H 1B,IBM,0.0,0,0.0,128k,ArtificialAnalysis,,,,,,,,,,8.0,7999999999.999999,0.0,46.77777777777778,Fast
Olmo 3 7B,Allen Institute for AI,0.13,33,0.43,66k,ArtificialAnalysis,,,,,,,,,,8.0,61.53846106508876,76.74418586803678,47.27667831755302,Balanced
LFM2 2.6B,Liquid AI,0.0,0,0.0,33k,ArtificialAnalysis,,,,,,,,,,8.0,7999999999.999999,0.0,46.77777777777778,Fast
DeepHermes 3 - Llama-3.1 8B,Nous Research,0.0,0,0.0,128k,ArtificialAnalysis,,,,,,,,,,22.0,22000000000.0,0.0,59.22222222222222,Fast
Jamba 1.7 Mini,AI21 Labs,0.25,124,0.63,258k,ArtificialAnalysis,,,,,,,,,,7.0,27.999999887999998,196.82539651297557,48.53421251270335,Balanced
Granite 4.0 1B,IBM,0.0,0,0.0,128k,ArtificialAnalysis,,,,,,,,,,7.0,7000000000.0,0.0,45.88888888888889,Fast
Granite 4.0 350M,IBM,0.0,0,0.0,33k,ArtificialAnalysis,,,,,,,,,,7.0,7000000000.0,0.0,45.88888888888889,Fast
Qwen3 1.7B,Alibaba,0.19,116,0.9,32k,ArtificialAnalysis,,,,,,,,,,7.0,36.84210506925208,128.88888874567903,48.418247312519945,Balanced
LFM2 1.2B,Liquid AI,0.0,0,0.0,33k,ArtificialAnalysis,,,,,,,,,,6.0,6000000000.0,0.0,45.0,Fast
Gemma 3 4B,Google,0.0,40,0.94,128k,ArtificialAnalysis,,,,,,,,,,6.0,6000000000.0,42.553191444092356,45.92455213134799,Budget-Friendly
Gemma 3n E4B,Google,0.03,59,0.38,32k,ArtificialAnalysis,,,,,,,,,,6.0,199.99999333333358,155.26315748614957,46.46684022331089,Balanced
Qwen3 0.6B,Alibaba,0.19,188,0.89,32k,ArtificialAnalysis,,,,,,,,,,6.0,31.578947202216067,211.235954818836,49.49476454215637,Balanced
Granite 4.0 H 350M,IBM,0.0,0,0.0,33k,ArtificialAnalysis,,,,,,,,,,6.0,6000000000.0,0.0,45.0,Fast
DeepSeek-OCR,DeepSeek,0.05,322,0.41,8k,ArtificialAnalysis,,,,,,,,,,22.0,439.9999912000002,785.3658517430101,67.80648045359354,High-Performance
Grok Voice Agent,xAI,0.0,0,0.0,32k,ArtificialAnalysis,,,,,,,,,,22.0,22000000000.0,0.0,59.22222222222222,Fast
Olmo 3.1 32B Think,Allen Institute for AI,0.0,60,0.54,66k,ArtificialAnalysis,,,,,,,,,,22.0,22000000000.0,111.11111090534979,60.76301909458268,Budget-Friendly
Cogito v2.1,Deep Cogito,1.25,74,0.38,128k,ArtificialAnalysis,,,,,,,,,,22.0,17.59999998592,194.73684159279776,58.04815335462402,Balanced
Mi:dm K 2.5 Pro Preview,Korea Telecom,0.0,0,0.0,128k,ArtificialAnalysis,,,,,,,,,,22.0,22000000000.0,0.0,59.22222222222222,Fast
Doubao-Seed-1.8,ByteDance Seed,0.15,0,0.0,256k,ArtificialAnalysis,,,,,,,,,,22.0,146.6666656888889,0.0,58.84722222222223,Fast
